Название,Ссылка,date,Created
"Заключение соглашений в системе Электронный бюджет с юридическими лицами в сфере ""Сельское хозяйство""",https://e-budget.ru/page30808530.html,2023-02-22 13:52:00,2023-02-22 10:02:00
Курс 2,https://e-budget.ru/members/courses/course772554787768,,
Организация мониторинга результатов,https://e-budget.ru/product__1-video,2023-03-22 19:00:00,2023-03-22 16:03:00
Трекер для Юридических лиц от подачи заявки на единой площадке отбора на получение гранта до сдачи отчетности в ГИИС ЭБ,https://e-budget.ru/members/courses/course908388317533,2023-08-22 15:23:00,2023-08-22 12:08:00
Опора ГРБС-Организаторов отбора в системе «Электронный бюджет» при работе с Грантами,https://e-budget.ru/members/courses/course526629930803,,
«Эффективное лидерство»,https://e-budget.ru/members/courses/course591611320317,,
